Ano	Estado	Mes	Numero	Periodo
2015	AP	Outubro	827	01/01/2015
2016	AP	Outubro	793	01/01/2016
2017	AP	Outubro	468	01/01/2017
1998	AP	Novembro	131	01/01/1998
1999	AP	Novembro	26	01/01/1999
2000	AP	Novembro	157	01/01/2000
2001	AP	Novembro	406	01/01/2001
2002	AP	Novembro	1.096	01/01/2002
2003	AP	Novembro	750	01/01/2003
2004	AP	Novembro	949	01/01/2004
2005	AP	Novembro	685	01/01/2005
2006	AP	Novembro	207	01/01/2006
2007	AP	Novembro	198	01/01/2007
2008	AP	Novembro	266	01/01/2008
2009	AP	Novembro	1.019	01/01/2009
2010	AP	Novembro	339	01/01/2010
2011	AP	Novembro	282	01/01/2011
2012	AP	Novembro	969	01/01/2012
2013	AP	Novembro	341	01/01/2013
2014	AP	Novembro	484	01/01/2014
2015	AP	Novembro	1.300	01/01/2015
2016	AP	Novembro	1.161	01/01/2016
2017	AP	Novembro	858	01/01/2017
